100
1	7.786072
2.37	8.217661
3.74	11.009572
5.11	13.429137
6.48	13.477059
7.85	16.191425
9.22	20.000394
10.59	27.000038
11.96	29.735979
13.33	32.139309
14.7	31.504492
16.07	35.317094
17.44	41.11468
18.81	39.997502
20.18	46.440017
21.55	47.948907
22.92	48.441807
24.29	50.174574
25.66	54.391991
27.03	58.204379
28.4	57.281384
29.77	59.523002
31.14	66.056306
32.51	69.309429
33.88	73.234182
35.25	70.712219
36.62	76.521128
37.99	80.011158
39.36	82.714202
40.73	84.172891
42.1	89.693835
43.47	92.498563
44.84	92.664406
46.21	94.240374
47.58	94.712124
48.95	103.296851
50.32	100.607621
51.69	108.144954
53.06	108.989049
54.43	114.351699
55.8	116.652063
57.17	114.228153
58.54	122.003676
59.91	122.215874
61.28	126.669772
62.65	126.780286
64.02	129.662559
65.39	131.339143
66.76	137.303356
68.13	139.399282
69.5	142.097198
70.87	142.051554
72.24	149.890095
73.61	151.590178
74.98	153.739938
76.35	153.709033
77.72	158.900785
79.09	163.824653
80.46	166.024401
81.83	163.969631
83.2	168.986853
84.57	172.775529
85.94	174.551448
87.31	176.668737
88.68	179.226516
90.05	180.950952
91.42	183.066318
92.79	185.263929
94.16	191.668206
95.53	196.441897
96.9	193.658032
98.27	199.371879
99.64	199.606508
101.01	201.549053
102.38	209.319021
103.75	210.463257
105.12	214.788553
106.49	219.038868
107.86	218.967803
109.23	222.926522
110.6	225.316394
111.97	228.701749
113.34	226.683937
114.71	232.771196
116.08	235.917721
117.45	234.582648
118.82	239.148698
120.19	244.006343
121.56	242.909886
122.93	247.199722
124.3	250.897394
125.67	254.256901
127.04	257.221205
128.41	260.856072
129.78	264.257662
131.15	262.326794
132.52	268.580894
133.89	267.443208
135.26	276.816844
136.63	275.171163
